CCFS_A,CCFS_B,Mud_Diamict,Diamict_only,Al,Ca,Zr,K,Rb,Si,b_star,NGR,MS,Mud_Diamict_code,Diamict_only_code
2.275,1.95,mud,NA,10.144,4.6124,49.299,1.4897,52.734,41.081,3.4,0.02,75.2,1,1
2.287,1.96,mud,NA,10.331,4.6576,48.074,1.471,52.353,41.797,3.4,0.02,75.2,1,1
2.3,1.97,mud,NA,10.331,4.6576,48.074,1.471,52.353,41.797,3.1,0.02,70.6,1,1
2.312,1.98,mud,NA,10.235,4.4905,47.958,1.4198,49.316,42.243,3.1,0.02,70.6,1,1
2.325,1.99,mud,NA,10.489,4.4251,50.246,1.4389,51.64,41.066,1.9,0.02,66.5,1,1
2.337,2,mud,NA,10.489,4.4251,50.246,1.4389,51.64,41.066,1.9,0.02,66.5,1,1
2.35,2.01,mud,NA,9.82,4.2336,52.211,1.5023,55.566,39.081,2.1,0.02,62,1,1
2.362,2.02,mud,NA,9.82,4.2336,52.211,1.5023,55.566,39.081,1.2,0.02,62,1,1
2.375,2.03,mud,NA,9.22,4.3233,53.177,1.5322,57.121,37.823,1.2,0.02,62,1,1
2.387,2.04,mud,NA,8.9803,4.0956,54.761,1.5217,60.717,36.676,1.3,0.02,57.7,1,1
2.4,2.05,mud,NA,8.9803,4.0956,54.761,1.5217,60.717,36.676,1.3,0.02,57.7,1,1
2.412,2.06,mud,NA,10.42,3.9722,50.334,1.5517,55.364,40.767,1,0.02,54.4,1,1
2.425,2.07,mud,NA,10.977,3.6442,45.694,1.5773,51.418,42.218,1.3,0.02,54.4,1,1
2.437,2.08,mud,NA,10.977,3.6442,45.694,1.5773,51.418,42.218,1.3,0.02,52,1,1
2.45,2.09,mud,NA,10.757,3.6145,48.706,1.5994,52.567,40.446,0.5,0.02,52,1,1
2.462,2.11,mud,NA,10.757,3.6145,48.706,1.5994,52.567,40.446,0.4,0.02,49.8,1,1
2.475,2.12,mud,NA,11.102,3.6928,46.412,1.5955,53.46,42.346,0.4,0.02,48.4,1,1
2.487,2.13,mud,NA,10.206,3.6798,50.196,1.6787,56.736,40.2,0.8,0.02,48.4,1,1
2.5,2.14,mud,NA,10.206,3.6798,50.196,1.6787,56.736,40.2,0.6,0.021,47.5,1,1
2.512,2.15,mud,NA,9.6967,3.8031,51.801,1.7118,62.643,38.124,0.6,0.021,47.5,1,1
2.525,2.16,mud,NA,11.392,3.6663,43.269,1.5908,51.548,43.732,1.5,0.021,46.4,1,1
2.537,2.17,mud,NA,11.392,3.6663,43.269,1.5908,51.548,43.732,1.5,0.021,46.4,1,1
2.55,2.18,mud,NA,11.601,3.5338,42.188,1.6359,54.298,43.451,2.1,0.021,46.4,1,1
2.562,2.19,mud,NA,11.601,3.5338,42.188,1.6359,54.298,43.451,2.2,0.021,45.7,1,1
2.575,2.2,mud,NA,11.495,3.6098,46.746,1.6019,54.296,42.178,2.2,0.021,45.7,1,1
2.587,2.21,mud,NA,11.34,3.5765,45.34,1.5672,52.156,42.862,1.9,0.021,45.6,1,1
2.6,2.22,mud,NA,11.34,3.5765,45.34,1.5672,52.156,42.862,1.9,0.021,45.6,1,1
2.612,2.23,mud,NA,11.314,3.7302,45.664,1.6097,53.818,41.884,2.8,0.021,45.5,1,1
2.625,2.24,mud,NA,10.955,3.8425,46.879,1.6351,54.278,41.459,2.8,0.021,45.5,1,1
2.637,2.25,mud,NA,10.955,3.8425,46.879,1.6351,54.278,41.459,2.5,0.021,45.6,1,1
2.65,2.27,mud,NA,11.586,3.8005,44.643,1.6154,51.809,42.305,2.1,0.021,45.9,1,1
2.662,2.28,mud,NA,11.586,3.8005,44.643,1.6154,51.809,42.305,2.8,0.021,45.9,1,1
2.675,2.29,mud,NA,11.646,3.8132,45.152,1.6189,50.525,42.89,2.8,0.021,46.1,1,1
2.687,2.3,mud,NA,11.96,3.7027,42.579,1.6206,50.233,43.696,1.8,0.021,46.1,1,1
2.7,2.31,mud,NA,11.96,3.7027,42.579,1.6206,50.233,43.696,1.8,0.021,45.4,1,1
2.712,2.32,mud,NA,12.175,3.7311,43.471,1.6144,51.817,44.319,1.8,0.021,45.4,1,1
2.725,2.33,mud,NA,11.956,3.859,43.236,1.6127,50.722,43.772,1.8,0.021,44.7,1,1
2.737,2.34,mud,NA,11.956,3.859,43.236,1.6127,50.722,43.772,1.8,0.021,44.7,1,1
2.75,2.35,mud,NA,11.441,3.8589,43.489,1.6724,52.872,42.766,2.5,0.021,44.7,1,1
2.762,2.36,mud,NA,11.441,3.8589,43.489,1.6724,52.872,42.766,2.1,0.021,44.8,1,1
2.775,2.37,mud,NA,11.022,3.9939,44.875,1.6614,55.571,41.758,2.1,0.021,44.8,1,1
2.787,2.38,mud,NA,10.359,4.1726,47.842,1.6802,58.852,40.371,2.1,0.021,45.1,1,1
2.8,2.39,mud,NA,10.359,4.1726,47.842,1.6802,58.852,40.371,2.1,0.021,45.1,1,1
2.812,2.4,mud,NA,8.9011,4.2989,54.839,1.7224,66.233,36.534,2.1,0.022,45.7,1,1
2.825,2.42,mud,NA,9.5992,4.0916,51.537,1.6656,60.766,37.976,1.5,0.022,46.7,1,1
2.837,2.43,mud,NA,9.5992,4.0916,51.537,1.6656,60.766,37.976,2.1,0.022,46.7,1,1
2.85,2.44,mud,NA,10.298,4.255,48.836,1.722,63.301,40.115,2.1,0.022,47.3,1,1
2.862,2.45,mud,NA,10.298,4.255,48.836,1.722,63.301,40.115,2.4,0.022,47.3,1,1
2.875,2.46,mud,NA,10.135,4.222,50.719,1.7513,60.941,39.596,2.4,0.022,47.8,1,1
2.887,2.47,mud,NA,11.393,4.1156,45.242,1.6724,54.827,42.099,2.1,0.022,47.8,1,1
